,date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,name,uf
11320085,1961-02-02 18:00:00,82825,,28.6,25.4,,,76.0,999.5,,5.0,1.0,,9.0,,,,Porto Velho,RO
11320086,1961-02-03 00:00:00,82825,,26.0,24.5,31.0,,88.0,999.0,,5.0,1.0,1.6,9.0,1.4,91.25,1.333333,Porto Velho,RO
11320087,1961-02-03 12:00:00,82825,0.4,23.2,22.8,,20.6,96.0,1001.6,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320088,1961-02-03 18:00:00,82825,,30.4,26.8,,,75.0,999.5,,23.0,2.0,,10.0,,,,Porto Velho,RO
11320089,1961-02-04 00:00:00,82825,,23.4,23.1,28.2,,97.0,1000.2,,9.0,1.0,0.7,10.0,1.1,91.0,1.0,Porto Velho,RO
11320090,1961-02-04 12:00:00,82825,97.8,22.7,22.4,,20.1,98.0,1001.8,,23.0,1.0,,10.0,,,,Porto Velho,RO
11320091,1961-02-04 18:00:00,82825,,27.5,25.0,,,80.0,1000.7,,32.0,1.0,,10.0,,,,Porto Velho,RO
11320092,1961-02-05 00:00:00,82825,,24.6,23.8,29.6,,93.0,1000.3,,32.0,1.0,1.4,10.0,0.9,93.75,1.0,Porto Velho,RO
11320093,1961-02-05 12:00:00,82825,6.1,22.3,22.2,,20.2,99.0,1001.8,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320094,1961-02-05 18:00:00,82825,,28.8,26.2,,,80.0,999.0,,23.0,1.0,,9.0,,,,Porto Velho,RO
11320095,1961-02-06 00:00:00,82825,,22.5,22.3,30.8,,98.0,998.4,,5.0,1.0,3.8,10.0,0.7,87.25,0.666667,Porto Velho,RO
11320096,1961-02-06 12:00:00,82825,9.1,23.0,22.0,,19.5,91.0,1000.0,,14.0,1.0,,9.0,,,,Porto Velho,RO
11320097,1961-02-06 18:00:00,82825,,29.0,26.6,,,82.0,998.7,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320098,1961-02-07 00:00:00,82825,,26.8,25.3,32.0,,88.0,997.4,,0.0,0.0,5.5,7.0,1.7,88.5,3.333333,Porto Velho,RO
11320099,1961-02-07 12:00:00,82825,0.2,25.1,24.0,,21.4,91.0,1000.7,,5.0,2.0,,9.0,,,,Porto Velho,RO
11320100,1961-02-07 18:00:00,82825,,30.2,27.3,,,79.0,999.4,,5.0,6.0,,10.0,,,,Porto Velho,RO
11320101,1961-02-08 00:00:00,82825,,25.2,24.2,34.6,,92.0,999.8,,23.0,2.0,8.5,7.0,2.1,80.25,3.0,Porto Velho,RO
11320102,1961-02-08 12:00:00,82825,0.0,23.5,23.0,,20.8,95.0,1002.4,,14.0,1.0,,10.0,,,,Porto Velho,RO
11320103,1961-02-08 18:00:00,82825,,32.5,26.8,,,62.0,999.4,,5.0,2.0,,7.0,,,,Porto Velho,RO
11320104,1961-02-09 00:00:00,82825,,28.2,25.8,28.2,,82.0,997.9,,23.0,6.0,2.2,10.0,3.0,96.0,1.0,Porto Velho,RO
11320105,1961-02-09 12:00:00,82825,118.3,21.5,21.4,,19.6,99.0,1002.8,,32.0,1.0,,10.0,,,,Porto Velho,RO
11320106,1961-02-09 18:00:00,82825,,25.6,24.5,,,91.0,999.9,,23.0,1.0,,10.0,,,,Porto Velho,RO
11320107,1961-02-10 00:00:00,82825,,23.4,23.1,32.8,,97.0,1000.0,,32.0,1.0,3.5,5.0,0.9,89.5,0.666667,Porto Velho,RO
11320108,1961-02-10 12:00:00,82825,1.1,22.5,22.3,,19.4,98.0,1001.8,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320109,1961-02-10 18:00:00,82825,,31.1,26.1,,,66.0,999.6,,9.0,1.0,,8.0,,,,Porto Velho,RO
11320110,1961-02-11 00:00:00,82825,,23.6,23.3,32.6,,97.0,999.9,,5.0,1.0,7.5,10.0,1.2,82.75,1.333333,Porto Velho,RO
11320111,1961-02-11 12:00:00,82825,3.4,23.5,22.6,,19.6,92.0,1002.7,,5.0,2.0,,9.0,,,,Porto Velho,RO
11320112,1961-02-11 18:00:00,82825,,31.3,26.1,,,65.0,1000.8,,32.0,1.0,,9.0,,,,Porto Velho,RO
11320113,1961-02-12 00:00:00,82825,,26.6,25.0,33.0,,87.0,998.6,,23.0,1.0,7.3,2.0,2.0,82.0,1.666667,Porto Velho,RO
11320114,1961-02-12 12:00:00,82825,0.0,24.6,23.6,,21.0,92.0,1000.7,,5.0,3.0,,9.0,,,,Porto Velho,RO
11320115,1961-02-12 18:00:00,82825,,31.4,26.0,,,64.0,997.9,,5.0,1.0,,9.0,,,,Porto Velho,RO
11320116,1961-02-13 00:00:00,82825,,26.6,24.8,30.4,,86.0,997.4,,14.0,1.0,3.5,5.0,2.2,90.75,1.0,Porto Velho,RO
11320117,1961-02-13 12:00:00,82825,21.3,23.2,22.9,,20.6,97.0,1001.2,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320118,1961-02-13 18:00:00,82825,,26.0,24.2,,,86.0,998.4,,27.0,1.0,,9.0,,,,Porto Velho,RO
11320119,1961-02-14 00:00:00,82825,,25.2,24.0,30.0,,90.0,998.7,,36.0,1.0,1.4,10.0,1.4,89.0,1.0,Porto Velho,RO
11320120,1961-02-14 12:00:00,82825,1.5,23.6,23.0,,21.4,95.0,1001.9,,23.0,1.0,,10.0,,,,Porto Velho,RO
11320121,1961-02-14 18:00:00,82825,,27.0,24.2,,,79.0,1000.7,,23.0,1.0,,9.0,,,,Porto Velho,RO
11320122,1961-02-15 00:00:00,82825,,24.6,23.5,31.1,,91.0,1000.7,,36.0,1.0,1.9,10.0,0.9,92.0,1.333333,Porto Velho,RO
11320123,1961-02-15 12:00:00,82825,5.5,23.0,22.3,,20.4,94.0,1001.9,,18.0,1.0,,10.0,,,,Porto Velho,RO
11320124,1961-02-15 18:00:00,82825,,24.3,23.3,,,92.0,1000.6,,27.0,2.0,,10.0,,,,Porto Velho,RO
11320125,1961-02-16 00:00:00,82825,,24.8,23.6,30.8,,91.0,999.4,,36.0,1.0,2.6,9.0,1.2,89.75,0.666667,Porto Velho,RO
11320126,1961-02-16 12:00:00,82825,4.6,23.4,22.6,,20.4,93.0,1001.1,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320127,1961-02-16 18:00:00,82825,,30.3,26.0,,,70.0,998.6,,32.0,1.0,,10.0,,,,Porto Velho,RO
11320128,1961-02-17 00:00:00,82825,,22.4,22.2,32.4,,98.0,1000.0,,27.0,1.0,4.8,10.0,0.6,86.5,0.666667,Porto Velho,RO
11320129,1961-02-17 12:00:00,82825,28.8,22.2,22.0,,19.8,98.0,1001.2,,14.0,1.0,,10.0,,,,Porto Velho,RO
11320130,1961-02-17 18:00:00,82825,,31.4,26.4,,,66.0,998.2,,9.0,1.0,,9.0,,,,Porto Velho,RO
11320131,1961-02-18 00:00:00,82825,,25.0,23.9,32.4,,91.0,998.4,,0.0,0.0,2.6,6.0,1.5,88.25,1.666667,Porto Velho,RO
11320132,1961-02-18 12:00:00,82825,9.7,23.9,23.3,,21.1,95.0,1001.4,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320133,1961-02-18 18:00:00,82825,,29.8,25.4,,,68.0,998.3,,5.0,2.0,,10.0,,,,Porto Velho,RO
