,id,lon,lat,alt,name,state,uf,time_zone,offset_utc,time_zone.1,offset_utc.1,shape,scale,vmp,vmaxE,p_vmp,p_vmaxE,w_mean,w_median,mean,median
39,83286,-44.616666666666696,-13.333333333333302,549.47,Correntina,Bahia,BA,America/Bahia,-3,America/Bahia,-3,1.709333099383459,2.040744170452463,1.219897542802599,3.2109305169439217,0.3839766867182888,0.13189414170281524,1.82017323518568,1.6469018663401866,1.8410396011819603,1.7333330000000002
40,83222,-39.0833333333333,-12.666666666666698,225.87,Cruz das Almas,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.9021779524451534,3.4539196494184603,2.986023307191,4.137695238887496,0.33075605299694816,0.21880005471162048,3.0799196235683493,3.044147199064052,3.08139952346644,3.066667
41,83221,-38.966666666666704,-12.183333333333302,230.68,Feira de Santana,Bahia,BA,America/Bahia,-3,America/Bahia,-3,3.3848083168030283,3.2686200064062594,2.9473661448069137,3.7491719705698223,0.3999741000828464,0.29263513969265526,2.9357906162719516,2.933177022002232,2.9399617728782794,3.0
42,83348,-39.06666666666671,-14.8,60.21,Ilhéus,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.2855918523375527,3.0465955650339005,2.3685340804849733,4.011104807946085,0.3092737107751336,0.16384164060841838,2.6988392648823667,2.595208257430566,2.697813899593524,2.5
43,83182,-41.8666666666667,-11.3,747.16,Irecê,Bahia,BA,America/Bahia,-3,America/Bahia,-3,3.0967683342676127,4.4278315740043395,3.9039332359833328,5.200749401941848,0.272894496461448,0.18899577714561538,3.9596405557830567,3.9336062382497685,3.9703634829618974,3.9
44,83244,-40.283333333333296,-12.516666666666698,249.89,Itaberaba,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.3466104207292378,2.535334627486607,2.001009494995446,3.2969994132723737,0.37911541796801485,0.20681934136511979,2.2466838817739867,2.1687205914751946,2.24613324349944,2.166667
45,83227,-38.683333333333294,-12.8833333333333,31.0,Itaparica,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.6939699413280094,3.735283138795378,3.1443556262231316,4.59026072665003,0.287269425564445,0.17905595706411453,3.321471361447532,3.2601534014178886,3.321708093973152,3.0
46,83295,-40.1166666666667,-13.35,755.61,Itiruçu (Jaguaquara),Bahia,BA,America/Bahia,-3,America/Bahia,-3,3.1856958023339885,2.543033796522158,2.2593993296854404,2.963295081044009,0.48711180400828513,0.34362506016477345,2.277184403630583,2.266661876090296,2.2792862966784986,2.25
47,83186,-40.466666666666704,-11.183333333333302,484.74,Jacobina,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.33706050654288,3.7304901032331466,2.9376157108124685,4.860318446982456,0.25685674048181784,0.13950106841329246,3.305573608309313,3.1890184143068114,3.3095993468864666,3.233333
48,83242,-41.3833333333333,-12.566666666666698,438.74,Lençóis,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.1708929480890915,1.5319618405987243,1.1527645321470257,2.0695747697321285,0.5922914825515635,0.29508468553086264,1.3567109461756763,1.29397473685242,1.35466823806912,1.266667
49,83225,-38.3,-12.533333333333301,28.0,Mata de São João,Bahia,BA,America/Bahia,-3,America/Bahia,-3,3.4891410974497985,2.8290344967420213,2.5680435933498167,3.221348840420419,0.47492272823564075,0.35337150876894197,2.544997095337536,2.546937369253746,2.550289568532812,2.333333
50,83090,-39.3,-10.4333333333333,464.6,Monte Santo,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.7603148151445485,2.813482634132676,2.3903786770377784,3.4275753922535226,0.38919233916030316,0.247561965981482,2.5039369932818314,2.4636492762850164,2.509089369120289,2.5
51,83184,-41.216666666666704,-11.216666666666699,1003.27,Morro do Chapéu,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.8923683912405025,3.803953543229209,3.284988113339184,4.561998583273627,0.2994534058235444,0.19759038699328704,3.391578548199108,3.3512174528371426,3.3976341375319445,3.333333
52,83238,-43.2,-12.683333333333302,422.0,Paratinga,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.16202206079969,2.2572998502570543,1.6938307503656438,3.0559992721259803,0.4007966586067126,0.19865898933117285,1.9990727375872068,1.9053126810162035,1.997720829059825,2.0
53,82986,-38.216666666666704,-9.36666666666667,252.69,Paulo Afonso,Bahia,BA,America/Maceio,-3,America/Maceio,-3,2.7068484178773886,3.52095688611586,2.969440804058726,4.319396533904206,0.3059628183010929,0.19148155671442396,3.131399360831784,3.07507936270883,3.1372606507968848,3.2
54,82979,-42.1,-9.63333333333333,400.51,Remanso,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.0070129421083664,2.404552950081809,1.7052971656768474,3.3934779027769206,0.35754357727190206,0.16036303819337802,2.1308467598434966,2.003203963674109,2.131270278353661,2.0
55,83194,-37.933333333333294,-11.483333333333302,163.0,Rio Real,Bahia,BA,America/Bahia,-3,America/Bahia,-3,3.404571032584983,2.9685946513365287,2.6803498455414787,3.400170653824385,0.44270438124154227,0.3249688135819529,2.66711749210141,2.665616793051812,2.668803440828402,2.666667
56,83229,-38.5,-13.0,51.41,Salvador (Ondina),Bahia,BA,America/Bahia,-3,America/Bahia,-3,1.8191065732349505,2.1132247605960037,1.3628806423142554,3.1769664657063834,0.3831145483032219,0.1472901108928335,1.878335485437728,1.727603991699181,1.8740898311772989,1.666667
57,83076,-44.5166666666667,-11.016666666666698,450.3,Santa Rita de Cássia (Ibipetuba),Bahia,BA,America/Bahia,-3,America/Bahia,-3,1.4904470381150212,1.8497367267898508,0.87746734388765,3.273899890014992,0.40220925084958875,0.10250626471168141,1.67115096143352,1.4464832590244048,1.6748965146599188,1.6
58,83223,-38.6666666666667,-12.6166666666667,80.0,São Francisco do Conde,Bahia,BA,America/Bahia,-3,America/Bahia,-3,2.134668017278196,2.7095982086946133,2.0152618997943135,3.693207453808908,0.3308956759007076,0.1613786026049292,2.3996827953216653,2.282120029188285,2.397516051074526,2.0
59,83190,-38.966666666666704,-11.6333333333333,359.63,Serrinha,Bahia,BA,America/Bahia,-3,America/Bahia,-3,3.134978290559593,2.9250794295381786,2.587726966747315,3.4237078090791377,0.41755378449989783,0.2915302650482525,2.617287075811394,2.6023393841227973,2.620301745158508,2.666667
60,82294,-40.1333333333333,-2.88333333333333,16.5,Acaraú,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.364640412223056,4.517249635485136,3.5802115189416424,5.853859726979362,0.21403116539516592,0.11773016843247343,4.003430821752106,3.8686515262255443,4.007520191665578,4.11552
61,82491,-37.7666666666667,-4.56666666666667,13.0,Aracati,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.6432203285490043,4.97476683724072,4.15596567124144,6.156641612006851,0.2123412786793665,0.13018795688903023,4.420878963650087,4.330647171862312,4.422690286191917,4.3333330000000005
62,82784,-39.3,-7.31666666666667,409.03,Barbalha,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.112979209401977,1.9987587030011744,1.475704516037719,2.7394144028791447,0.44537898922386226,0.2143537935368767,1.770222591760801,1.6804614811713607,1.7705853847234532,1.633333
63,82777,-40.3833333333333,-7.0,583.5,Campos Sales,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.8314761324160247,5.1646887240313,4.428123960972028,6.237403667930153,0.21660473961510845,0.1406111037659391,4.600881410453366,4.5376192750330615,4.61329075320657,4.6643335
64,82583,-40.6666666666667,-5.16666666666667,296.82,Crateús,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.583255094333265,3.212982392785812,2.65829228076602,4.011446172083995,0.32268053379078715,0.19379403694393676,2.85326394443357,2.787985616678588,2.8841236902866463,2.866667
65,82397,-38.55,-3.75,26.45,Fortaleza,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.4111249983252145,3.641400699364917,2.9159259106081232,4.678085506808758,0.2695352785368312,0.1513367946278446,3.228318340639857,3.1278920887557518,3.2302102827671444,3.1333330000000004
66,82487,-39.0,-4.2833333333333306,870.67,Guaramiranga,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.175101044150306,3.1351968128222327,2.362251041940356,4.231164737343088,0.289815113062171,0.1447371038187974,2.7765450804973693,2.6490155804245847,2.802135934293437,3.066667
67,82686,-39.3,-6.36666666666667,217.67,Iguatu,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.3659666189479647,2.8556436477691363,2.2639695564915607,3.6996614069783615,0.3387146868339483,0.18642576624387308,2.530848738012017,2.4458356103635173,2.5261058926574123,2.366667
68,82493,-37.7666666666667,-4.7833333333333306,11.71,Jaguaruana,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.830784249368658,4.132686179526425,3.543000699150924,4.9914609866226485,0.27063868828354737,0.17565423053056203,3.6815031306679527,3.63080220184626,3.6846055073197217,3.633333
69,82785,-39.31666666666671,-7.2,415.0,Juazeiro do Norte,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,1.902442599916512,2.216993808343492,1.4980071653069615,3.2342775992302366,0.37488130519279783,0.15513136483947135,1.9671985524076598,1.8285042308087265,1.9594775047895527,1.666667
70,82588,-38.3666666666667,-5.11666666666667,43.62,Morada Nova,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.950820369636092,3.3643771011497066,2.9241369644913555,4.009263869605845,0.3444313140727641,0.23065505006720916,3.002167589472708,2.971407385664817,3.0043715871081496,3.0
71,82586,-39.283333333333296,-5.16666666666667,79.5,Quixeramobim,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.4071890288476343,3.8672197567647117,3.0941397222435603,4.971759755568058,0.25347413481052483,0.14207767373525926,3.4284133483169152,3.3210407069302965,3.438675756590904,3.4
72,82392,-40.3333333333333,-3.7333333333333294,109.62,Sobral,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,1.6982304801907786,2.2451544053832406,1.3303076207079916,3.55038416770752,0.3479251124655617,0.11802039828457613,2.003369311805041,1.8093249400293288,1.9976957447614905,1.8
73,82683,-40.4166666666667,-6.0,398.77,Tauá,Ceará,CE,America/Fortaleza,-3,America/Fortaleza,-3,2.773428623085058,3.0302411345462086,2.579018005575316,3.6855571701987366,0.36279061617471575,0.2316596647146887,2.6973170801566733,2.6551220889497986,2.6964405128483846,2.666667
74,83377,-47.9333333333333,-15.783333333333301,1159.54,Brasília,Distrito Federal ,DF,America/Sao_Paulo,-3,America/Sao_Paulo,-3,2.0040557878174847,2.8347237310097,2.0078833579848294,4.00407063350451,0.3029930469344881,0.13560894795585177,2.5121169401415187,2.360937758313502,2.511508126912047,2.333333
75,83646,-41.1,-20.85,77.0,Cachoeiro do Itapemirim,Espírito Santo,ES,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.5236327441979127,1.8147464086504241,0.9002782685986808,3.146234434156049,0.4124719016816009,0.11087341698706406,1.635248831829713,1.4267422910171481,1.6294471278532183,1.333333
76,83597,-40.06666666666671,-19.4166666666667,28.6,Linhares,Espírito Santo,ES,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.4574679965058823,2.2691868488322697,1.0246786276956876,4.104639101536296,0.32617997905116036,0.07856538127373731,2.0560695368045256,1.764644384624175,2.0421749664998874,1.666667
77,83550,-39.85,-18.7,25.04,São Mateus,Espírito Santo,ES,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.9452660313926773,3.6243673233345115,2.5009805257915083,5.213162360522287,0.23249112261093077,0.0995786720955695,3.2139573280132727,3.001964754723752,3.2066741659799667,3.0
78,83045,-41.183333333333294,-20.3833333333333,710.0,Venda Nova,Espírito Santo,ES,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.7016178974714091,1.0533092894521767,0.6258076705749226,1.6630830041918006,0.7423175682184179,0.25277510005066306,0.9397486322571096,0.8492056167406792,0.9342502216828492,0.666667
79,83648,-40.31666666666671,-20.3166666666667,36.2,Vitória,Espírito Santo,ES,America/Sao_Paulo,-3,America/Sao_Paulo,-3,2.065686534808037,3.8677224302540414,2.8074232014618303,5.3680245627286105,0.22660490798157784,0.10581336234085056,3.4260983996544128,3.238909521942998,3.422467133822773,3.166667
